trial,seed,graph,n,m,density,bestFitness,time_sec
1,1235,can___24.txt,24,92,0.3333333333333333,5.0,0.017882108688354492
2,1236,can___24.txt,24,92,0.3333333333333333,4.0,0.025532007217407227
3,1237,can___24.txt,24,92,0.3333333333333333,4.0,0.021851062774658203
4,1238,can___24.txt,24,92,0.3333333333333333,5.0,0.0254061222076416
5,1239,can___24.txt,24,92,0.3333333333333333,5.0,0.030284881591796875
6,1240,can___24.txt,24,92,0.3333333333333333,4.0,0.02873992919921875
7,1241,can___24.txt,24,92,0.3333333333333333,4.0,0.02490401268005371
8,1242,can___24.txt,24,92,0.3333333333333333,5.0,0.01971912384033203
9,1243,can___24.txt,24,92,0.3333333333333333,4.0,0.02443099021911621
10,1244,can___24.txt,24,92,0.3333333333333333,4.0,0.0263369083404541
11,1245,can___24.txt,24,92,0.3333333333333333,4.0,0.018210887908935547
12,1246,can___24.txt,24,92,0.3333333333333333,5.0,0.016096115112304688
13,1247,can___24.txt,24,92,0.3333333333333333,5.0,0.015472888946533203
14,1248,can___24.txt,24,92,0.3333333333333333,4.0,0.017526865005493164
15,1249,can___24.txt,24,92,0.3333333333333333,5.0,0.015543937683105469
16,1250,can___24.txt,24,92,0.3333333333333333,5.0,0.01425790786743164
17,1251,can___24.txt,24,92,0.3333333333333333,5.0,0.015681982040405273
18,1252,can___24.txt,24,92,0.3333333333333333,4.0,0.01542806625366211
19,1253,can___24.txt,24,92,0.3333333333333333,4.0,0.015279054641723633
20,1254,can___24.txt,24,92,0.3333333333333333,4.0,0.015021085739135742
21,1255,can___24.txt,24,92,0.3333333333333333,4.0,0.019238948822021484
22,1256,can___24.txt,24,92,0.3333333333333333,5.0,0.014120817184448242
23,1257,can___24.txt,24,92,0.3333333333333333,4.0,0.017294883728027344
24,1258,can___24.txt,24,92,0.3333333333333333,4.0,0.015569925308227539
25,1259,can___24.txt,24,92,0.3333333333333333,5.0,0.0157470703125
26,1260,can___24.txt,24,92,0.3333333333333333,5.0,0.0144500732421875
27,1261,can___24.txt,24,92,0.3333333333333333,4.0,0.01573491096496582
28,1262,can___24.txt,24,92,0.3333333333333333,4.0,0.01603102684020996
29,1263,can___24.txt,24,92,0.3333333333333333,4.0,0.01341700553894043
30,1264,can___24.txt,24,92,0.3333333333333333,5.0,0.014758825302124023
