trial,seed,graph,n,m,density,bestFitness,time_sec
1,1235,can___61.txt,61,309,0.16885245901639345,7.0,0.10279297828674316
2,1236,can___61.txt,61,309,0.16885245901639345,7.0,0.09125494956970215
3,1237,can___61.txt,61,309,0.16885245901639345,7.0,0.08895993232727051
4,1238,can___61.txt,61,309,0.16885245901639345,7.0,0.0855398178100586
5,1239,can___61.txt,61,309,0.16885245901639345,7.0,0.07987403869628906
6,1240,can___61.txt,61,309,0.16885245901639345,7.0,0.07658004760742188
7,1241,can___61.txt,61,309,0.16885245901639345,7.0,0.13541102409362793
8,1242,can___61.txt,61,309,0.16885245901639345,7.0,0.08829593658447266
9,1243,can___61.txt,61,309,0.16885245901639345,7.0,0.10504508018493652
10,1244,can___61.txt,61,309,0.16885245901639345,7.0,0.11307907104492188
11,1245,can___61.txt,61,309,0.16885245901639345,6.0,0.11940789222717285
12,1246,can___61.txt,61,309,0.16885245901639345,7.0,0.0823969841003418
13,1247,can___61.txt,61,309,0.16885245901639345,7.0,0.08294916152954102
14,1248,can___61.txt,61,309,0.16885245901639345,7.0,0.08410787582397461
15,1249,can___61.txt,61,309,0.16885245901639345,7.0,0.09119677543640137
16,1250,can___61.txt,61,309,0.16885245901639345,7.0,0.0903780460357666
17,1251,can___61.txt,61,309,0.16885245901639345,7.0,0.08600711822509766
18,1252,can___61.txt,61,309,0.16885245901639345,7.0,0.08034086227416992
19,1253,can___61.txt,61,309,0.16885245901639345,7.0,0.08626604080200195
20,1254,can___61.txt,61,309,0.16885245901639345,7.0,0.08950090408325195
21,1255,can___61.txt,61,309,0.16885245901639345,7.0,0.0837399959564209
22,1256,can___61.txt,61,309,0.16885245901639345,7.0,0.08621001243591309
23,1257,can___61.txt,61,309,0.16885245901639345,7.0,0.10371780395507812
24,1258,can___61.txt,61,309,0.16885245901639345,7.0,0.10304999351501465
25,1259,can___61.txt,61,309,0.16885245901639345,7.0,0.08315491676330566
26,1260,can___61.txt,61,309,0.16885245901639345,7.0,0.0783228874206543
27,1261,can___61.txt,61,309,0.16885245901639345,7.0,0.08149600028991699
28,1262,can___61.txt,61,309,0.16885245901639345,7.0,0.07931017875671387
29,1263,can___61.txt,61,309,0.16885245901639345,7.0,0.07819294929504395
30,1264,can___61.txt,61,309,0.16885245901639345,7.0,0.07621097564697266
